Product Name,Time,Day,Price,Quantity,Stock Remaining
Limca Lime Lemon Drink 2L,2026-04-14 08:02:00,Tuesday,95.0,1,175
Tata Salt Lite 1kg,2026-04-14 08:04:00,Tuesday,28.0,3,417
Tata Salt SuperLite 1kg,2026-04-14 08:16:00,Tuesday,32.0,3,526
Fortune Sunflower Refined Oil 1L,2026-04-14 08:17:00,Tuesday,145.0,1,194
Patanjali Aloe Vera Gel 150ml,2026-04-14 08:19:00,Tuesday,110.0,1,238
Tata Salt Rock Salt 1kg,2026-04-14 08:25:00,Tuesday,75.0,2,472
Ching's Secret Hakka Noodles 150g,2026-04-14 08:25:00,Tuesday,40.0,1,315
Balaji Wafers Simply Salted 100g,2026-04-14 08:27:00,Tuesday,40.0,2,502
Dettol Lather Shaving Cream 70g,2026-04-14 08:31:00,Tuesday,65.0,1,129
Fortune Sona Masoori Rice 5kg,2026-04-14 08:34:00,Tuesday,340.0,1,208
Homelite Safety Matchbox (10-Pack bundle),2026-04-14 08:35:00,Tuesday,20.0,1,220
Fortune Mustard Oil 1L,2026-04-14 08:35:00,Tuesday,175.0,1,205
Britannia Marie Gold Biscuits 250g,2026-04-14 08:36:00,Tuesday,30.0,1,152
Kellogg's Corn Flakes Original 475g,2026-04-14 08:36:00,Tuesday,220.0,1,192
Sprite Soft Drink 2L,2026-04-14 08:37:00,Tuesday,95.0,1,179
Homelite Safety Matchbox (10-Pack bundle),2026-04-14 08:38:00,Tuesday,20.0,1,219
D-Mart Premia Almonds (Badam) 500g,2026-04-14 08:38:00,Tuesday,450.0,1,219
D-Mart Premia Walnuts (Akhrot) 250g,2026-04-14 08:41:00,Tuesday,350.0,1,227
Pears Pure & Gentle Soap (125g x 3),2026-04-14 08:41:00,Tuesday,225.0,1,212
Cadbury Bournville Rich Cocoa Chocolate 80g,2026-04-14 08:42:00,Tuesday,90.0,1,153
D-Mart Premia Jaggery Powder 1kg,2026-04-14 08:44:00,Tuesday,80.0,1,223
India Gate Basmati Rice Premium 1kg,2026-04-14 08:46:00,Tuesday,110.0,1,104
Complan Chocolate Health Drink 500g,2026-04-14 08:47:00,Tuesday,295.0,1,101
Amul Masti Spiced Buttermilk 200ml,2026-04-14 08:52:00,Tuesday,20.0,4,736
Maggi 2-Minute Masala Noodles 12-Pack,2026-04-14 08:57:00,Tuesday,168.0,1,462
Aashirvaad Atta Shudh Chakki 5kg,2026-04-14 08:58:00,Tuesday,260.0,4,477
Britannia 50-50 Maska Chaska 120g,2026-04-14 09:00:00,Tuesday,30.0,1,204
MTR Vermicelli 500g,2026-04-14 09:05:00,Tuesday,55.0,1,114
Gits Gulab Jamun Mix 200g,2026-04-14 09:05:00,Tuesday,115.0,1,226
D-Mart Premia Thick Poha 1kg,2026-04-14 09:11:00,Tuesday,55.0,1,377
MDH Pav Bhaji Masala 100g,2026-04-14 09:19:00,Tuesday,78.0,1,216
Bajaj Almond Drops Hair Oil 200ml,2026-04-14 09:22:00,Tuesday,125.0,2,231
Pepsi Soft Drink 2L,2026-04-14 09:23:00,Tuesday,90.0,1,197
Exo Dishshine Bar 300g,2026-04-14 09:23:00,Tuesday,30.0,1,246
Britannia NutriChoice Digestive 250g,2026-04-14 09:28:00,Tuesday,65.0,1,206
Dettol Cool Bathing Soap (125g x 3),2026-04-14 09:29:00,Tuesday,170.0,1,172
D-Mart Premia Besan 1kg,2026-04-14 09:30:00,Tuesday,90.0,1,226
D-Mart Premia Masoor Whole 1kg,2026-04-14 09:33:00,Tuesday,105.0,1,209
Aashirvaad Rava Idli Mix 500g,2026-04-14 09:36:00,Tuesday,115.0,2,238
Lay's Classic Salted Potato Chips 90g,2026-04-14 09:37:00,Tuesday,20.0,3,293
Thums Up Soft Drink 2L,2026-04-14 09:38:00,Tuesday,95.0,1,330
MDH Pav Bhaji Masala 100g,2026-04-14 09:43:00,Tuesday,78.0,1,215
Amul Gold Full Cream Milk 1L,2026-04-14 09:45:00,Tuesday,66.0,1,479
D-Mart Premia Moong Dal Yellow 1kg,2026-04-14 09:48:00,Tuesday,145.0,1,152
Rin Laundry Detergent Bar (4-Pack),2026-04-14 09:50:00,Tuesday,40.0,1,200
Bisleri Mineral Water Bottle 1L,2026-04-14 09:51:00,Tuesday,20.0,1,627
Maaza Mango Drink 1.2L,2026-04-14 09:56:00,Tuesday,75.0,2,148
D-Mart Premia Sugar 1kg,2026-04-14 09:57:00,Tuesday,48.0,2,484
D-Mart Premia Raisins (Kishmish) 250g,2026-04-14 10:01:00,Tuesday,110.0,1,148
Britannia Brown Bread 400g,2026-04-14 10:13:00,Tuesday,50.0,2,521
Bisleri Mineral Water Bottle 1L,2026-04-14 10:14:00,Tuesday,20.0,2,625
Patanjali Dant Kanti Toothpaste 200g,2026-04-14 10:25:00,Tuesday,95.0,1,221
D-Mart Premia Black Eyed Lobia 1kg,2026-04-14 10:26:00,Tuesday,115.0,1,203
Dabur Red Toothpaste 200g,2026-04-14 10:35:00,Tuesday,115.0,1,222
D-Mart Premia Urad Dal White split 1kg,2026-04-14 10:36:00,Tuesday,150.0,1,116
Amul Cheese Block 200g,2026-04-14 10:37:00,Tuesday,135.0,1,223
Everest Kashmiri Lalchili Powder 200g,2026-04-14 10:37:00,Tuesday,120.0,1,238
Lipton Green Tea Honey Lemon 25 Bags,2026-04-14 10:38:00,Tuesday,155.0,1,214
Dabur Hajmola Anardana Tablets 120 tab,2026-04-14 10:40:00,Tuesday,55.0,1,97
Act II Popcorn Golden Sizzle 90g,2026-04-14 10:41:00,Tuesday,45.0,1,170
Vim Lemon Dishwash Liquid Gel 500ml,2026-04-14 10:47:00,Tuesday,115.0,1,124
Mother Dairy Fresh Paneer 200g,2026-04-14 10:50:00,Tuesday,90.0,2,218
Frooti Mango Drink 1.2L,2026-04-14 10:53:00,Tuesday,75.0,3,333
Saffola Masala Oats Classic 500g,2026-04-14 10:53:00,Tuesday,160.0,2,204
